Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.46194332,63.4790708,63.49608903,63.51109963,63.52409321,63.53506039,63.54399178,63.55087799,63.55570962,63.5584773,63.55864633,63.54027786,63.49603253,63.42879653,63.34129789,63.23626463,63.11642477,62.98450636,62.84323741,62.69534594,62.53793978,62.30489111,61.96557791,61.55438613,61.10197123,60.63898871,60.19609405,59.80394272,59.49319022,59.29449202,59.2366009,59.23669321,59.23721511,59.23853708,59.24103134,59.24507009,59.25102553,59.25926987,59.27017531,59.28411406,59.30145833,59.32203654,59.35385141,59.42357402,59.53970324
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.53962383,59.38500029,59.37809753,59.55844719,60.05332768,60.79348627,61.70967025,62.73262688,63.79310344,64.8218472,65.74960545,66.50297451,67.12181235,67.70947088,68.27276368,68.8131879,69.33224069,69.83141919,70.31222057,70.77614197,71.22468055,71.65788334,72.10215565,72.57763565,73.06750673,73.55287086,74.01482999,74.4344861,74.79294114,75.07129709,75.2506559,75.3121255,75.27142335,75.17569151,75.05726398,74.94846206,74.88160706,74.84764407,74.81724717,74.79233118,74.77481089,74.76673169,74.7772642,74.81991939,74.89831339
Bhutan,BTN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,12.16753803,13.04720304,13.85580803,14.66200299,15.46536809,16.2654832,17.0619282,17.85428295,18.64212732,19.4250412,20.20260444,20.97439693,21.73999853,22.49898911,23.25094855,23.99545672,24.73209349,25.46043873,26.18007231,26.8905741,27.59152399,28.28250183,28.9630875,29.63286087,30.29140182,30.93799178,31.56649459,32.17382166,32.76371955,33.3396805,33.90519678,34.46376067,35.01886442,35.57400032,36.13266061,36.69833757,37.27452346,37.8645545,38.46618928,39.07468234,39.68888399,40.30751999,40.93651436,41.7352458,42.56452498
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.94005657,15.81388052,17.23185229,19.56659814,22.6171101,26.16364348,29.98645354,33.8657956,37.58192494,40.91509684,43.64556661,45.5396337,46.79852949,47.86624371,48.79328657,49.61186034,50.3541673,51.05240973,51.73878993,52.44551017,53.20477274,54.04898944,55.01429886,56.09792335,57.25824893,58.45355547,59.64212281,60.78223083,61.83215937,62.7501883,63.49459747,64.01878107,64.39932478,64.75797355,65.09651224,65.41035843,65.69492969,65.94564357,66.15791765,66.32716948,66.44881665,66.51827671,66.58897872,67.02126553,67.46235378
Central African Republic,CAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.92760933,36.12946535,36.30839847,36.46686514,36.60732184,36.73222501,36.84403111,36.94519661,37.03818005,37.12437787,37.20080089,37.26822933,37.32806414,37.38170628,37.43055674,37.47601646,37.51948642,37.56236759,37.60606093,37.6519674,37.70148798,37.75602362,37.8169753,37.88631719,37.96268894,38.04485104,38.13443368,38.23433394,38.34744892,38.4766757,38.62449631,38.80306695,39.0301696,39.30429635,39.62265219,39.98244213,40.38087117,40.81514434,41.28246662,41.78004304,42.30507859,42.85477829,43.27519675,43.69836921,44.12435556
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.67671351,75.73946548,75.85360554,76.02829348,76.21804763,76.37847251,76.46578191,76.49794287,76.51770055,76.53407629,76.55644371,76.59538413,76.73528324,76.99656863,77.31712854,77.63564826,77.89246339,78.09033988,78.26938231,78.44393093,78.62929955,78.84147649,79.09902348,79.39138067,79.69230633,79.97606159,80.2190661,80.44256151,80.66289449,80.85918389,81.01208923,81.10314254,81.15134832,81.18343996,81.21118316,81.24656703,81.30230111,81.40189458,81.55003416,81.7363672,81.95098887,82.17792791,82.35008974,82.52505644,82.70025658
Central Europe and the Baltics,CEB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.88917054,58.46706145,58.95846291,59.42478822,59.88607038,60.18322031,60.52164172,60.85476706,61.13025849,61.31714218,61.39669992,61.48214694,61.54150378,61.56271079,61.56742272,61.55226003,61.51313404,61.47601501,61.45682594,61.4430439,61.4406529,61.53027767,61.58399359,61.57126837,61.57451842,61.66843767,61.75982962,61.76293282,61.87484089,61.90707561,61.98313328,62.00629955,61.97393247,61.96170311,61.96329497,61.97088776,61.9025261,61.87157566,61.81110434,61.74495265,61.63182477,61.54910995,61.59352403,61.69707903,61.79767125
Switzerland,CHE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.28923229,61.81142188,62.44457144,63.1689536,63.95929918,64.79033899,65.63680385,66.47342455,67.27493192,68.01605676,68.66238556,69.24141472,69.82005965,70.40518719,70.98044247,71.52947061,72.03591671,72.4834259,72.8556433,73.13621403,73.30243052,73.37629926,73.41953241,73.45187622,73.47613175,73.49510009,73.51158232,73.52837951,73.54829274,73.57412309,73.60867164,73.65058749,73.75226296,74.11213848,74.74026791,75.60449601,76.67266758,77.91262737,79.29222016,80.77929073,82.34168385,84.20064776,84.92062663,85.18542127,85.461537
Channel Islands,CHI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.9677447,31.90383012,31.88011544,31.86438796,31.84974916,31.82993411,31.79557099,31.7313651,31.63876641,31.52789153,31.40959883,31.28327763,31.09138207,30.84216074,30.60195473,30.43351684,30.39224627,30.3993412,30.41342244,30.43306867,30.45654257,30.49170136,30.5750453,30.71479956,30.89599884,31.10675649,31.33507708,31.56924153,31.79721921,32.00701881,32.18682291,32.32633502,32.44143346,32.54322518,32.62755953,32.69077843,32.74262597,32.78532194,32.8125992,32.8235411,32.8247185,32.81481411,32.79204391,32.7554338,32.70562112
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.68435861,82.0280252,82.26596806,82.43823746,82.57953015,82.69654608,82.79710589,82.88903027,82.98013986,83.07825532,83.19119732,83.32678652,83.49593513,83.7341885,84.04914058,84.41672689,84.8148594,85.22145011,85.61441099,85.97165404,86.27109125,86.49063459,86.61141151,86.6792973,86.73367545,86.77682445,86.81251234,86.84450716,86.87657694,86.91248973,86.95601356,87.01091647,87.08249437,87.18277777,87.31337015,87.46533203,87.63062906,87.80002958,87.96204938,88.12736856,88.29534904,88.46605117,88.63953528,88.81586172,88.99509085
